2022-11-18 16:40:41 WARNING  ############################## LOGGING STARTED ##############################
2022-11-18 16:40:42 INFO     Line3: 8.568331406746644e-05 -8.459108823264808e-05
2022-11-18 16:40:42 INFO     Line6: 8.427178989528105e-05 8.67224450490827e-05
2022-11-18 16:40:42 INFO     Line9: -8.482634326068172e-05 8.620434763335194e-05
2022-11-18 16:40:42 INFO     Line12: -8.488815024404338e-05 -8.762365968361716e-05
2022-11-18 16:40:42 WARNING  Current mode is: auto
2022-11-18 16:40:42 WARNING  Starting to find initial heading using GPS co-ordinates. Waiting for 10 sec here and then will move in straight line for 20 sec
2022-11-18 16:40:42 WARNING  Mode just before initial gps location calculation is: auto
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.061822 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.146801 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.247946 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.347472 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.447619 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.548790 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.649222 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.749254 
2022-11-18 16:40:42 WARNING  Tmp initial location time elapsed: 0.849089 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 0.948834 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.049754 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.150211 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.249131 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.349523 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.450149 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.549896 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.650013 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.750788 
2022-11-18 16:40:43 WARNING  Tmp initial location time elapsed: 1.851130 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 1.951616 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.050687 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.151344 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.251260 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.351167 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.451263 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.552495 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.652384 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.752010 
2022-11-18 16:40:44 WARNING  Tmp initial location time elapsed: 2.852361 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 2.953748 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.053566 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.153479 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.254419 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.354208 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.453279 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.553518 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.654589 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.753768 
2022-11-18 16:40:45 WARNING  Tmp initial location time elapsed: 3.854844 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 3.954429 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.055653 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.155637 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.255958 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.354881 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.456306 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.555428 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.655771 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.755594 
2022-11-18 16:40:46 WARNING  Tmp initial location time elapsed: 4.857945 
2022-11-18 16:40:47 WARNING  Tmp initial location time elapsed: 4.956722 
